molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
(-)-crotepoxide,CC(=O)O[C@H]1[C@H](OC(=O)C)[C@H]2O[C@H]2[C@@H]2[C@@]1(COC(=O)c1ccccc1)O2,default,5.5151,success,-7.63,,success,0.3805916666666667,362.33,0.63,0,8,103.96,5,0,-9.05,success
demethoxymatteucinol,Cc1c2O[C@@H](CC(=O)c2c(c(c1O)C)O)c1ccccc1,default,5.6041,success,-10.72,,success,0.4910083333333333,284.31,3.42,2,4,66.76,1,0,-10.35,success
lawinal,O=Cc1c2O[C@@H](CC(=O)c2c(c(c1O)C)O)c1ccccc1,default,5.9948,success,-10.73,,success,0.5239,298.29,2.93,2,5,83.83,2,0,-10.25,success
benzyl benzoate,O=C(c1ccccc1)OCc1ccccc1,default,4.0459,success,-7.88,,success,0.2664916666666666,212.25,3.04,0,2,26.3,3,0,-10.24,success
"17,18-dihydroxyoctadeca-9,11,13,15-tetraynoic acid",OC[C@@H](C#CC#CC#CC#CCCCCCCCC(=O)O)O,default,4.8385,success,-9.24,,success,0.37787499999999996,300.35,1.17,3,3,77.76,8,0,-8.85,success
"18-hydroxyoctadeca-9,11,13,15-tetraynoic acid",OCCC#CC#CC#CC#CCCCCCCCC(=O)O,default,4.4897,success,-9.15,,success,0.34580833333333333,284.35,2.2,2,2,57.53,8,0,-9.31,success
"5,7,3',4'-tetrahydroxyflavanol",Oc1cc2OC(O)(CCc2c(c1)O)c1ccc(c(c1)O)O,default,5.2532,success,-10.23,,success,0.44543333333333335,290.27,1.68,5,6,110.38,1,0,-9.64,success
"3,4-dihydroxybenzoic acid",OC(=O)c1ccc(c(c1)O)O,default,4.6718,success,-6.67,,success,0.27831666666666666,154.12,0.8,3,3,77.76,1,0,-9.5,success
stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,default,3.939,success,-5.95,,success,0.19833333333333333,284.48,6.33,1,1,37.3,16,1,-7.94,success
oleic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,default,4.2168,success,-5.64,,success,0.20606666666666668,282.47,6.11,1,1,37.3,15,1,-7.89,success
"6-isopropenyl-2-isopropyl-5-methyl- 5-vinyl-cyclohexa-1,3-diene",C=CC1(C)C=CC(=CC1C(=C)C)C(C)C,default,5.1929,success,-2.42,,success,0.18007499999999999,202.34,4.52,0,0,0.0,3,0,-9.65,success
caryophyllene,C/C/1=C/CCC(=C)C2C(CC1)C(C2)(C)C,default,5.1153,success,-2.16,,success,0.1649416666666667,204.36,4.73,0,0,0.0,0,0,-9.86,success
isocaryophyllene,C/C/1=C/CCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C,default,5.1153,success,-2.07,,success,0.1619416666666667,204.36,4.73,0,0,0.0,0,0,-9.86,success
aromadendrene,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]1[C@H](C1(C)C)CCC2=C,default,4.9086,success,-2.91,,success,0.17271666666666666,204.36,4.27,0,0,0.0,0,0,-9.91,success
gurjunene,C[C@H]1CC[C@H]2[C@@H](C3=C(CC[C@@H]13)C)C2(C)C,default,4.9129,success,-2.21,,success,0.14974166666666663,204.36,4.42,0,0,0.0,0,0,-9.87,success
cadalene,Cc1ccc2c(c1)c(ccc2C)C(C)C,default,5.3723,success,-3.92,,success,0.245025,198.31,4.58,0,0,0.0,1,0,-10.11,success
2-benzyloctanal,CCCCCCC(Cc1ccccc1)C=O,default,5.1788,success,-2.55,,success,0.1832333333333333,218.34,4.01,0,1,17.07,8,0,-9.4,success
"octahydro-3,8,8-trimethyl-6-methylene-1H-3a,7-methanoazulen-5-ol",OC1CC23CC(C1=C)C(C2CCC3C)(C)C,default,4.7481,success,-6.78,,success,0.28834166666666666,220.36,3.39,1,1,20.23,0,0,-10.15,success
caryophyllene oxide,C=C1CC[C@H]2O[C@@]2(CC[C@@H]2[C@@H]1CC2(C)C)C,default,5.133,success,-4.64,,success,0.24908333333333332,220.36,3.94,0,1,12.53,0,0,-9.92,success
spathulenol,C=C1CC[C@@H]2[C@H]([C@H]3[C@H]1CC[C@]3(C)O)C2(C)C,default,4.4918,success,-6.31,,success,0.25131666666666663,220.36,3.39,1,1,20.23,0,0,-10.21,success
intermedeol,CC(=C)[C@@H]1CC[C@]2([C@H](C1)[C@@](C)(O)CCC2)C,default,4.8201,success,-6.86,,success,0.2970083333333334,222.37,3.92,1,1,20.23,1,0,-10.05,success
santalol,OC/C(=C\CCC1(C)C2CC3C1(C)C3C2)/C,default,5.0143,success,-6.3,,success,0.29452500000000004,220.36,3.39,1,1,20.23,4,0,-9.86,success
3-vinyl-3-methyl-2-isopropenyl-6-isopropyl-cyclohexanone,C=CC1(C)CCC(C(=O)C1C(=C)C)C(C)C,default,4.893,success,-2.95,,success,0.17275,220.36,4.01,0,1,17.07,3,0,-9.78,success
methyl phenylheptanoate,COC(=O)CCCCCCc1ccccc1,default,4.0012,success,-7.38,,success,0.24609999999999999,220.31,3.35,0,2,26.3,7,0,-9.66,success
