molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
"(S)-MTPA-ester or methyl (2E,6E,10R )-10,11-dihydroxy-7,9,11- trimethyl-2,6-dodecadienoate",COC(=O)/C=C/CC/C=C(/CC([C@@H](C(O)(C)C)O)C)\C,default,5.4457,success,-8.95,,success,0.41880833333333334,284.4,2.6,2,4,66.76,8,0,-9.08,success
"(R)-MTPA-ester or methyl (2E,6E,10R )-10,11-dihydroxy-7,9,11- trimethyl-2,6-dodecadienoate",COC(=O)/C=C/CC/C=C(/CC([C@H](C(O)(C)C)O)C)\C,default,5.4457,success,-8.93,,success,0.4181416666666667,284.4,2.6,2,4,66.76,8,0,-9.08,success
caulindole A,CC1=C[C@H]([C@](CC1)(C)/C=C/c1ccc2c(c1)cc[nH]2)c1ccc2c(c1)cc[nH]2,default,5.6657,success,-6.47,,success,0.354475,366.51,7.19,2,0,31.58,3,1,-8.37,success
caulindole B,CC1=C[C@H]([C@@](CC1)(C)/C=C/c1ccc2c(c1)cc[nH]2)c1ccc2c(c1)cc[nH]2,default,5.6657,success,-5.77,,success,0.33114166666666667,366.51,7.19,2,0,31.58,3,1,-8.37,success
caulindole C,C=CC(c1c[nH]c2c1cc(cc2)/C=C/[C@]1(C)CCC(=C[C@H]1c1ccc2c(c1)c(c[nH]2)C(C=C)(C)C)C)(C)C,default,5.9271,success,-4.53,,success,0.3115916666666667,502.75,10.12,2,0,31.58,7,2,-7.01,success
caulindole D,C=CC(c1c[nH]c2c1cc(cc2)/C=C/[C@@]1(C)CCC(=C[C@H]1c1ccc2c(c1)c(c[nH]2)C(C=C)(C)C)C)(C)C,default,5.9271,success,-4.79,,success,0.32025833333333337,502.75,10.12,2,0,31.58,7,2,-7.01,success
5-(3-methylbut-2-enyl)-1H-indole,CC(=CCc1ccc2c(c1)cc[nH]2)C,default,4.9351,success,-6.04,,success,0.2792583333333334,185.27,3.68,1,0,15.79,2,0,-10.18,success
"(E)-5-(3-methylbuta-1,3-dienyl)-1H-indole",CC(=C)/C=C/c1ccc2c(c1)cc[nH]2,default,5.0855,success,-6.7,,success,0.31379166666666664,183.25,3.76,1,0,15.79,2,0,-10.12,success
(+/-)-schefflerin,COc1cc(O)c(c(c1OC)O)C(=O)[C@H]1[C@H](CC=C(C)C)C(=CC[C@@H]1c1ccccc1)C,default,5.5841,success,-6.62,,success,0.35267500000000007,436.55,6.02,2,5,75.99,7,1,-8.04,success
(+/-)-isoschefflerin,COc1cc(O)c(c(c1OC)O)C(=O)[C@@H]1CC=C([C@@H]([C@H]1c1ccccc1)CC=C(C)C)C,default,5.5651,success,-6.54,,success,0.348425,436.55,6.02,2,5,75.99,7,1,-8.05,success
(+/-)-schefflone,COC1=C(C(C)C)C2(C(C3(C1=O)CCc1c(O3)c(OC)c(c(c1)OC)C(C)C)Cc1c(O2)c(OC)c(c(c1)OC)C(C)C)OC,default,5.9468,success,-0.52,,success,0.17956666666666665,624.77,6.76,0,9,90.91,9,2,-6.65,success
espintanol,COc1cc(C)c(c(c1C(C)C)OC)O,default,5.1132,success,-7.72,,success,0.35009999999999997,210.27,2.84,1,3,38.69,3,0,-10.37,success
"3-isopropyl-2,4-dimethoxy-6-methylene-cyclohexa-2,4-dienone",COC1=CC(=C)C(=O)C(=C1C(C)C)OC,default,4.9062,success,-6.49,,success,0.29185000000000005,208.26,2.21,0,3,35.53,3,0,-9.91,success
(+/-)-5-methoxy-7-phenyl-[4-methoxy-2-pyronyl]- 1-(E)-styryl-2-oxabicyclo-[4.2.0]-octa-4-en-3-one,COc1cc(=O)oc(c1)[C@@H]1[C@@H](c2ccccc2)[C@@H]2C1(/C=C/c1ccccc1)OC(=O)C=C2OC,default,6.0503,success,-7.87,,success,0.4331916666666667,456.49,4.68,0,6,74.97,6,0,-8.69,success
"(+)-6-styryl-7,8-epoxy-4-methoxypyran-2-one",COc1cc(oc(=O)c1)[C@H]1O[C@@H]1c1ccccc1,default,5.2272,success,-7.75,,success,0.36060000000000003,244.25,2.46,0,4,51.97,3,0,-10.29,success
"(+)-6-styryl-7,8-dihydroxy-4- methoxypyran-2-one",COc1cc(oc(=O)c1)[C@@H]([C@@H](c1ccccc1)O)O,default,5.1628,success,-10.91,,success,0.4605666666666667,262.26,1.42,2,5,79.9,4,0,-9.9,success
