molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
mol_277,C[C@@H](O)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(O)c(O)c1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,default,8.201395446817768,success,-4.33,,success,0.49444962056814734,559.6,1.78,5,9,190.54,12,1,-6.9,success
mol_278,CCNC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2NCSC2(C)C)C(C)(C)S1,default,6.66824563569168,success,-3.6,,success,0.34235380297430673,564.78,0.33,6,8,140.46,11,2,-6.39,success
mol_279,C[C@@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)c1ccccc1,default,6.849074815994295,success,-6.62,,success,0.4580895679995246,516.68,5.61,3,4,87.66,11,2,-7.04,success
mol_280,CC(C)(C)NC(=O)[C@@H]1CCCC[C@H]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,default,7.283070553348199,success,-5.05,,success,0.4419225461123499,594.75,3.36,5,6,159.85,13,1,-6.82,success
mol_281,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,default,8.689282591529757,success,-3.72,,success,0.5147735492941464,670.86,3.09,5,7,166.75,12,1,-6.54,success
mol_282,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCC(F)(F)F)NC1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCC(F)(F)F)SC1(C)C,default,7.91100847397015,success,-2.5,,success,0.40925070616417913,890.97,1.65,8,10,198.66,17,2,-6.07,success
mol_283,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C,default,8.308950344294523,success,-3.23,,success,0.4667458620245436,823.05,3.77,6,8,189.12,21,2,-5.65,success
mol_284,CC(C)[C@H](NC(=O)COc1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CCC[C@H]1C(=O)NC(C)(C)C,default,8.232001381429972,success,-4.36,,success,0.4980001151191644,630.79,3.35,4,6,137.07,12,1,-6.96,success
mol_285,CCNC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1.O,default,7.21593307488282,success,-1.16,,success,0.3066610895735683,801.05,-0.26,8,10,230.16,17,2,-5.65,success
mol_286,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,default,6.858621792839183,success,-8.8,,success,0.531551816069932,505.64,2.4,3,7,131.19,11,1,-7.81,success
mol_287,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(O)C(F)(F)F,default,6.132499763719781,success,-5.92,,success,0.37504164697664844,569.62,2.08,6,7,140.15,13,2,-6.81,success
mol_288,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)O[C@H]1CCOC1,default,9.775722681985776,success,-6.44,,success,0.6959768901654814,558.68,3.5,4,6,117.12,11,1,-7.32,success
mol_289,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CNC[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,default,6.23089805670563,success,-8.84,,success,0.4805748380588025,543.71,3.57,5,7,129.15,12,1,-7.29,success
mol_290,Cc1ccc(COCC(OCc2ccc(C)cc2)C(O)C(O)C(COCc2ccc(C)cc2)OCc2ccc(C)cc2)cc1,default,5.511091690226682,success,-3.9,,success,0.25592430751889017,598.78,6.55,2,6,77.38,17,2,-6.07,success
mol_291,CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,default,9.520869827077776,success,-0.25,,success,0.46840581892314803,697.88,4.18,4,9,140.4,11,1,-5.84,success
mol_292,CC(C)[C@H](NC(=O)OCC1CCCCN1C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,default,7.7648603214989835,success,-1.74,,success,0.3717383601249153,757.97,4.99,5,8,158.33,18,1,-5.93,success
mol_293,Cc1cc(SC2=C(O)OC(CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1cccs1,default,8.084420848927227,success,-1.94,,success,0.4050350707439356,615.84,7.54,2,9,115.92,9,2,-6.21,success
mol_294,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2C[C@H]3CCCC[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,default,8.14778026560172,success,-5.65,,success,0.5339816888001433,605.84,3.69,3,7,125.04,9,1,-7.46,success
mol_295,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,default,6.858621792839183,success,-8.8,,success,0.531551816069932,505.64,2.4,3,7,131.19,11,1,-7.81,success
mol_296,CC(C)(C)NC(=O)[C@@H]1CN(Cc2noc3ccccc23)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O,default,7.796734222273877,success,-3.34,,success,0.42772785185615647,653.82,3.61,4,8,131.17,11,1,-6.46,success
mol_297,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cc4sccc4s3)C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,default,8.964378722856253,success,-2.82,,success,0.5076982269046878,704.98,4.27,3,10,128.28,11,1,-6.57,success
